estacion,cluster_ward,escala,n_eventos,duracion_media,duracion_mediana,severidad_media,severidad_mediana,intensidad_media,minimo_medio
COTAHUASI,2,nspei_12,9,29.444444444444443,28,26.666276038676955,26.599339513295572,0.962944095826982,-1.6703636277565874
HUAMBO,2,nspei_12,9,24,22,24.663728228848896,23.65425389477778,1.0293189271749783,-1.7653627569527326
CORA CORA,2,nspei_12,5,41.4,24,41.702770519717916,21.35850479874928,0.9356002156347598,-1.931142459381105
CARAVELI,2,nspei_12,4,66.5,58,59.26799192757137,41.5185845292787,0.8305184007969388,-1.6631058327175328
PUNTA ATICO,3,nspei_12,5,44.6,22,43.49294543892054,25.948469343985654,1.0613311664075715,-2.06299904212289
PAMPA BLANCA,3,nspei_12,4,59.5,64,57.02910138872869,47.45763058851037,0.9095821455994517,-1.6217304188776505
PUNTA COLES,3,nspei_12,4,61,53.5,57.364789136050625,32.80475093978694,0.8291206410975923,-1.5833483067107805
LA YARADA,3,nspei_12,2,95.5,95.5,103.54335537939562,103.54335537939562,0.9915991105836817,-2.101839830713183
HUARAYA MOHO,1,nspei_3,45,5.6,5,5.131814695611623,3.599998755762055,0.8764260312521206,-1.527342890643992
ANANEA,1,nspei_3,37,6.5675675675675675,6,6.030515209366822,5.976085240502391,0.9084980400672338,-1.7179690331104294
MACUSANI,1,nspei_3,36,6.166666666666667,5.5,5.920755382083954,4.3592366607473565,0.9543632527740903,-1.633637358905318
GRANJA KAYRA,1,nspei_3,35,6.771428571428571,5,6.379330710781637,4.884272998415653,0.9504989853725591,-1.6362444429434941
GRANJA SAN ANTONIO,1,nspei_3,35,6.114285714285714,5,6.156826798205212,4.795057139579359,0.9807426290506158,-1.6642885002596883
IMATA,1,nspei_3,35,6.428571428571429,6,6.20073733686507,5.168799744321155,0.949422339197991,-1.5619608248267483
SANTO TOMAS,1,nspei_3,35,6.457142857142857,6,6.1385159101821305,4.135069704025212,0.944129381167609,-1.5310733920912596
CAYLLOMA,1,nspei_3,34,7,6,6.524302348892732,4.76572002620226,0.9167347200069793,-1.6247918851691874
CURPAHUASI,1,nspei_3,34,6.264705882352941,5,6.228648818657952,4.540202062658023,0.9389111894620735,-1.5973024473753992
ANTA ANCACHURO,1,nspei_3,31,7.806451612903226,7,7.374083427768655,4.75842139537756,0.8672206211021225,-1.4500909115881233
PAUCARAY,1,nspei_3,30,6.633333333333334,6,6.8804599513881906,5.0908824131574875,1.020526438017451,-1.674598372618351
PIZACOMA,1,nspei_3,30,6.8,6,6.942668973854523,5.55054042548144,0.9955690595370286,-1.7018921269617244
ANDAHUAYLAS,1,nspei_3,29,7.862068965517241,7,7.659078245036044,5.362388149862588,0.876533035534968,-1.5225861326874
PUCARA,1,nspei_3,29,7.344827586206897,5,7.317392553050797,5.061018738528422,0.9256593129278727,-1.5704936218173733
TAMBOBAMBA,1,nspei_3,29,7.551724137931035,6,7.4364676542559875,6.665044906673365,1.0155843765156645,-1.6745744558998457
AYMARAES,1,nspei_3,27,8.333333333333334,7,8.115438026927968,6.993915339652177,0.9369339723322679,-1.6281939113256143
SICUANI,1,nspei_3,27,7.851851851851852,8,7.926282588941176,5.953558479017159,0.9752117993765029,-1.5846220195309002
MAÑAZO,1,nspei_3,26,8.384615384615385,7.5,8.257658358306617,8.1273647646568,0.9882841398925124,-1.6786214026969815
HUAMBO,2,nspei_3,30,7.833333333333333,6,7.511089969763651,4.894464603710675,0.916932066046983,-1.5352518086204339
CORA CORA,2,nspei_3,28,7.857142857142857,6,7.7646693450076025,5.405948850641355,0.9528278216584354,-1.5700208277608583
CANDARAVE,2,nspei_3,27,8.592592592592593,8,8.187872134089744,7.149487238102189,0.8967478717747204,-1.6198112001033997
UBINAS,2,nspei_3,27,8.481481481481481,7,8.238132071404245,5.358933586136445,0.9540304722054965,-1.7219873559078018
COTAHUASI,2,nspei_3,25,9.32,6,8.833300065789517,6.481273366492817,0.911378933465864,-1.6091767876557772
CARAVELI,2,nspei_3,15,14.866666666666667,10,14.661468235442117,6.5714999235204274,0.844474549779063,-1.5106576891554389
PUNTA ATICO,3,nspei_3,21,11.666666666666666,10,10.956149689623711,9.717156723312076,0.9268440006459978,-1.7588515947331727
LA YARADA,3,nspei_3,15,18,10,16.065180652788154,6.749645339935094,0.847964772625105,-1.478464889737171
PAMPA BLANCA,3,nspei_3,13,19.307692307692307,15,18.2747500918981,10.035433130964865,0.838485611513537,-1.6240742182187833
PUNTA COLES,3,nspei_3,12,19.416666666666668,15.5,18.75227942861165,11.361356225022277,0.8846701479211558,-1.7059932851574262
HUARAYA MOHO,1,nspei_6,29,8.862068965517242,10,8.07162801875128,7.004377475579634,0.8379718506927335,-1.55372981571725
IMATA,1,nspei_6,25,9.44,9,9.009685479925514,7.039867666908674,0.9394949969045909,-1.612365443897996
PIZACOMA,1,nspei_6,25,10.24,9,9.309375181338822,6.925366597721009,0.8920243513642376,-1.6382460912681411
GRANJA KAYRA,1,nspei_6,24,10.458333333333334,10,9.680760335523084,8.750004871918371,0.8944490201775023,-1.7325611441973132
MACUSANI,1,nspei_6,24,9.458333333333334,8.5,9.01044196945562,8.483057446147846,0.9538045279909295,-1.6722574976925506
CAYLLOMA,1,nspei_6,23,10.695652173913043,9,10.100978878573038,8.36098274208706,0.9501706327867173,-1.7371246099670297
GRANJA SAN ANTONIO,1,nspei_6,23,10.173913043478262,9,9.814397647148382,6.628250156892885,0.9021911898563625,-1.611490972997216
ANANEA,1,nspei_6,22,10.636363636363637,9,10.196974176162136,8.722345988500862,0.992832112418647,-1.8225203857474355
CURPAHUASI,1,nspei_6,21,10.238095238095237,9,10.22895814974346,7.3748316809209875,0.9169189335720894,-1.6463867147202706
MAÑAZO,1,nspei_6,21,11.380952380952381,10,10.780979850340808,10.439098267737348,0.9460478398782247,-1.802588731239312
SANTO TOMAS,1,nspei_6,21,10.761904761904763,8,10.202638164078515,9.340839251899153,0.9157390643624679,-1.6952549630471654
PAUCARAY,1,nspei_6,19,11.210526315789474,8,11.39799747681001,8.871747403742479,0.9272527581831516,-1.6828582865849957
AYMARAES,1,nspei_6,18,12.944444444444445,9.5,12.535737668121767,9.991000774146421,0.9308202090100818,-1.6190243837105225
TAMBOBAMBA,1,nspei_6,18,13.444444444444445,10.5,12.469257033227535,12.270653904252821,0.9458868165680666,-1.7433547621222805
SICUANI,1,nspei_6,17,13.294117647058824,11,13.035720750355052,10.07072609399744,0.9996121944536859,-1.6331321845292657
ANTA ANCACHURO,1,nspei_6,16,13.1875,11,13.510408394096979,8.651784002871079,0.900794668869845,-1.513679945819906
PUCARA,1,nspei_6,16,13.625,11,13.65649518557716,9.861518847625566,0.8791886151752323,-1.5388452821811525
ANDAHUAYLAS,1,nspei_6,15,13.533333333333333,9,14.114614153544009,7.479277472684855,0.9652169392035372,-1.6711464784711334
CORA CORA,2,nspei_6,20,11.05,9.5,11.082107887620621,6.877327408019648,0.966744905667803,-1.6063588172957357
HUAMBO,2,nspei_6,19,12.473684210526315,9,11.991294788043195,9.962937610462628,0.9272143454686345,-1.6599155504340253
CANDARAVE,2,nspei_6,17,12.705882352941176,11,12.629710251486236,11.416447114127875,0.9603912052784714,-1.655339008161574
UBINAS,2,nspei_6,17,12.882352941176471,11,12.614359843859853,11.14970034807094,0.9940810064649973,-1.767613006871757
COTAHUASI,2,nspei_6,15,15.533333333333333,13,14.935746091988037,13.282563938444177,0.9592646659638493,-1.6626898976973383
CARAVELI,2,nspei_6,9,24.77777777777778,21,24.496397232951363,17.1472285166444,0.8637154627032426,-1.5134069244432073
PUNTA ATICO,3,nspei_6,12,20.583333333333332,16.5,19.268916552918192,15.8561987736461,0.9039211365406634,-1.675924801421655
PAMPA BLANCA,3,nspei_6,8,30.75,24,29.291073345842417,16.112222608231736,0.843882614721454,-1.4944992129360124
PUNTA COLES,3,nspei_6,8,30.875,27.5,29.358456352664863,21.24538259891547,0.8606425042711742,-1.6877637304544693
LA YARADA,3,nspei_6,5,47.8,26,45.40090421360444,15.58547438579141,0.7791111405930191,-1.7567650529185919
