estacion,latitud,longitud,altitud,p_01,p_02,p_03,p_04,p_05,p_06,p_07,p_08,p_09,p_10,p_11,p_12,ppt_anual,ppt_djfm,ppt_mjjas,cv_mensual,mes_pico,frac_djfm,frac_mjjas,cluster_ward,cluster_pam,coincide_ward_pam
IMATA,-15.842655555555556,-71.09061666666666,4475,137.5753232494484,127.79285928039185,98.82036139285083,31.822868927962045,4.268873134131441,2.5674617521401752,2.8287875552253356,4.875925925925926,8.225460647266965,14.958781754032481,25.969166438492397,70.67777777777778,530.3836478356457,434.86632170046886,22.766509014689845,1.153895234993441,1,0.8199089913028851,0.04292460581617458,1,2,FALSE
LA YARADA,-18.21065,-70.52593333333333,30,0.33431178237729176,0.34865729363666004,0.24847789677082974,0.14160858435303608,0.292979182582107,0.390359409079993,0.819278144235489,0.7147704217856244,0.6051535951143812,0.22639741813126016,0.11244248035531285,0.20170838814268863,4.436144596564674,1.13315536092747,2.8225407527975945,0.6137651162477903,7,0.2554369760185408,0.6362598628961181,3,3,TRUE
MACUSANI,-14.07,-70.43908333333334,4345,133.82922229468144,112.98759209643228,101.41875197562361,42.22202224644502,11.9794431195607,6.632402312332578,5.378267132640448,8.747212078354494,20.792183595818845,44.62180447782076,60.30721442800802,102.80986350217273,651.7259792598909,451.04542986891005,53.529508238707066,0.8649230775103719,1,0.6920783338744967,0.0821349922240263,1,1,TRUE
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,160.7750565306435,142.02855196818604,113.23142402146264,47.98152086557471,7.612562329522653,4.703505141482491,3.3753240719754407,7.4555539739178895,17.53719800405952,33.833151061139155,52.34187131597743,105.3047855589306,696.1805048428721,521.3398180792228,40.684143520957996,0.9885938108314999,1,0.7488572495963374,0.05843907325463014,1,1,TRUE
PAMPA BLANCA,-17.071608333333334,-71.724525,108,1.0139873071738326,0.7043951825836056,0.24001414225343823,0.08718809718828772,0.2391511898946229,0.2557521339233373,0.4455499883065804,0.7880108356353333,0.6875560127492547,0.21192748555860155,0.18553670933422936,0.5366416793715254,5.395710763972649,2.4950383113824017,2.4160201605091287,0.652044030737812,1,0.4624114265060056,0.4477668033358979,3,3,TRUE
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,142.66774830296652,152.24236881226352,129.80207508045646,49.04621254913154,12.609627323280536,11.283227186573265,11.99487447498338,15.753793458449579,24.008092841624396,39.90226229320154,49.72739180961196,97.37283159213882,736.4105057246816,522.0850237878253,75.64961528491116,0.8843151059094145,2,0.708959228214779,0.1027275068685589,1,1,TRUE
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,166.24922565045816,141.81249415814503,95.50109613272102,31.40153963722895,4.778077818146759,4.9714303999305,3.9485658368995415,7.277764575213011,11.696537485467935,21.85572583742845,36.926066864678425,104.39206451974565,630.8105889160635,507.9548804610698,32.67237611565775,1.1134894031005842,1,0.8052415247719613,0.05179427341541532,1,1,TRUE
PUCARA,-15.045666666666667,-70.36663888888889,3877,155.9285877410449,132.22962962962964,118.2357502247624,50.81519204490102,9.808703600531134,4.5879093555074135,3.45,8.91633709836958,23.685571745841344,56.62854685456524,63.99566824202528,118.68302362705401,746.964920164232,525.076991222491,50.44852180024947,0.893431322371631,1,0.7029473232920289,0.0675380067234718,1,1,TRUE
PUNTA ATICO,-16.231741666666665,-73.696375,30,1.8551610863656953,0.9768344865550278,0.6834755593753649,0.21491663355867074,0.13473281066002712,0.14103337368389862,0.3857229597318257,0.6115528375675066,0.6052004456433032,0.44631191986980545,1.3824680044509428,1.3074603489959378,8.744870466458005,4.822931481292025,1.8782424272865612,0.7497080293959767,1,0.5515154855398894,0.2147821896837448,3,3,TRUE
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,0.3147691311378034,0.17859228516251122,0.09856442275907623,0.1238401840015268,0.1687229137522411,0.29926534884681855,0.4956578688050734,0.364005485804964,0.787176911951546,0.4284774656053286,0.1259414688065372,0.08607724505672228,3.4710907316901487,0.6780030841161131,2.114828529160643,0.7181734786443698,9,0.19532853979474596,0.6092691584961502,3,3,TRUE
