estacion,z_p_01,z_p_02,z_p_03,z_p_04,z_p_05,z_p_06,z_p_07,z_p_08,z_p_09,z_p_10,z_p_11,z_p_12,z_altitud,z_ppt_anual,z_frac_djfm,z_cv_mensual
IMATA,0.29370459416117506,0.27391903014857927,0.1731858205105417,-0.05527478260746511,-0.5427886099674782,-0.6311566584690192,-0.4402022451447295,-0.4437191138642061,-0.5625294771583952,-0.6299742678117959,-0.4511844561693508,-0.1270266689074662,1.1028940143989834,-0.01911740758085002,0.663301084807633,0.6711232200763434
LA YARADA,-1.7850600364463456,-1.8191244790932701,-1.7562585762755096,-1.5455279041644658,-1.2208796038857068,-1.2740910767607878,-1.077537247423302,-1.2601505443344845,-1.2803610905998781,-1.2870277871303337,-1.2701674540174273,-1.4986733402885397,-2.172210705778949,-1.6686316654291589,-2.6625006723019076,-1.6025267562375225
MACUSANI,0.23696308457733595,0.030768946434308695,0.22404667426294017,0.4338904376627364,0.7722535236534014,0.5692876857248969,0.36838942573510625,0.31583906367619985,0.6212536628245156,0.6929747559110893,0.636435055422123,0.4983468629892998,1.007109174438774,0.36144510965171517,-0.08986189506771891,-0.5452902258958127
MAÑAZO,0.6451067331351206,0.5077148695453834,0.45526771906342567,0.7048111871111624,0.027479500169848847,-3.476299681407957e-4,-0.26686299615028364,0.06241179501622309,0.3146345800145449,0.21180873861786892,0.38414166391045756,0.5469045019743487,0.6865983638026883,0.500866579139473,0.24467270108821146,-0.02470462970781034
PAMPA BLANCA,-1.7747651149346688,-1.8132821193166426,-1.7564242456646921,-1.5480877865679534,-1.2300599989130578,-1.3138428369049788,-1.1960686829109266,-1.2457805512428886,-1.2725987970338188,-1.2876731354938025,-1.2678522755411645,-1.4921546717812364,-2.114739801802823,-1.6656222052363823,-1.4430319077410234,-1.4413936329344272
PAUCARAY,0.37083862991413247,0.6754585779041457,0.7796213653863545,0.7548931626294254,0.8797318010570103,1.9427533818270695,2.4669093095167596,1.6905517494111415,0.9241917605676875,0.4824866413416384,0.3013309309110935,0.3925281533736995,0.1914644218545285,0.6270387914593579,0.009598320032954183,-0.4636604789515887
PIZACOMA,0.7280229768044916,0.5041665057133878,0.10821457789591982,-0.07509366872210964,-0.4559434590405497,0.07877514105594077,-0.08505392396777933,0.027528971492168455,-0.23555463610637714,-0.3223756280250696,-0.10413681112780862,0.5291405888313486,0.701334493027336,0.29584876330890664,0.5768821222372407,0.5010369472732574
PUCARA,0.5716981521616551,0.3467850627864073,0.553222316360233,0.8381040951159733,0.4020326535965578,-0.03448498214626574,-0.2431788160725982,0.3490219096145081,0.8938103288261062,1.228466646043644,0.7532627311523808,0.807279631773852,0.6622837505820198,0.6601403025304441,-0.02582310638724798,-0.425286234257504
PUNTA ATICO,-1.7620240087471932,-1.8088077900968715,-1.747743939312519,-1.5420795707339432,-1.2478686133835033,-1.3477211888422713,-1.215043393446982,-1.280402149891892,-1.280356677288113,-1.2772197618968095,-1.2299408068694198,-1.4771525459307815,-2.172210705778949,-1.6551183305206782,-0.9180414244640004,-1.030282049763448
PUNTA COLES,-1.7853560454290156,-1.8219174932640754,-1.7591929801052408,-1.5463637110042732,-1.2420715818051833,-1.300992663088387,-1.1801764925300164,-1.32897169705434,-1.263214525466091,-1.278015165456235,-1.2697398885591116,-1.5009238215355143,-2.175894738085111,-1.67165833653207,-3.016652405952517,-1.1630251205182611
SANTO TOMAS,0.8370202069920878,0.8236646394187929,1.2108359940415718,0.9995935999955575,0.3839938243313965,0.21843537610644845,0.10462807392680576,0.4510647546926642,0.6784336566684007,1.0175501089953647,0.8841529651769946,0.9817616731079608,0.20251651877301421,0.948778634996764,0.14567437166309782,-0.21951110621649772
SICUANI,0.3187083358832524,0.3211157371842949,0.4638801977135311,0.9721131890364323,0.5853856268317014,0.21097558273373143,0.0692526004087657,0.19578910261627813,0.3661286640573237,0.7365576224373563,0.9680325393641395,0.6550061238474152,0.4095591343793132,0.5486612302905001,-0.07275977901948408,-0.4767870737575597
TAMBOBAMBA,1.3224658464234047,1.3644874782033587,1.3763997532674734,1.505711966597691,1.1939763676737996,1.3363962810196384,0.7644068165013425,1.0777282083630064,1.1508491439517854,1.4751324147188394,1.7196989362359725,1.632966752648459,0.2496721322918866,1.4917318992050352,0.030200299575566657,-0.3661795056702525
