estacion,latitud,longitud,altitud,mes,ppt_media_mensual
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,7,1.4699322031128446
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,8,2.09278740143922
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,9,2.5357889105255174
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,10,5.262605564738559
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,11,5.743144473998335
COTAHUASI,-15.21133611111111,-72.89325277777779,2683,12,26.434337951731436
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,1,193.33655881988327
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,2,198.5538685409028
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,3,163.99312842619716
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,4,48.31270217716714
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,5,8.976698223742577
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,6,7.034769342185508
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,7,5.548258506407645
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,8,10.540238035873834
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,9,20.055420131797543
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,10,46.269108832663704
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,11,64.81188777846086
CURPAHUASI,-14.062836111111112,-72.68972222222223,3535,12,128.85398898950203
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,1,148.06679583771208
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,2,123.20959227521939
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,3,99.86390821117934
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,4,40.56372027594883
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,5,7.898446399360019
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,6,4.1090502609377495
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,7,3.324074074074074
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,8,5.692592592592592
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,9,17.408894087651586
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,10,44.831268339885774
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,11,73.90738813050234
GRANJA KAYRA,-13.556747222222224,-71.87516944444444,3214,12,113.24682298665914
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,1,202.39275837424853
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,2,199.9145180909279
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,3,149.6624306785042
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,4,57.510730879975334
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,5,14.666881287032771
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,6,8.353131963611991
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,7,7.600010378027502
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,8,14.940340053408795
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,9,26.369029145114112
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,10,56.92800447352549
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,11,80.10467750164361
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,12,139.19626412368444
HUAMBO,-15.732005555555556,-72.10692499999999,3312,1,75.66272469911206
HUAMBO,-15.732005555555556,-72.10692499999999,3312,2,78.61893239157244
HUAMBO,-15.732005555555556,-72.10692499999999,3312,3,59.80456111822303
HUAMBO,-15.732005555555556,-72.10692499999999,3312,4,13.504000002238827
HUAMBO,-15.732005555555556,-72.10692499999999,3312,5,1.383885970726509
HUAMBO,-15.732005555555556,-72.10692499999999,3312,6,1.539015907639768
HUAMBO,-15.732005555555556,-72.10692499999999,3312,7,1.2392613201818254
HUAMBO,-15.732005555555556,-72.10692499999999,3312,8,2.47009100864467
HUAMBO,-15.732005555555556,-72.10692499999999,3312,9,2.7814190516189434
HUAMBO,-15.732005555555556,-72.10692499999999,3312,10,5.237069899553303
HUAMBO,-15.732005555555556,-72.10692499999999,3312,11,4.8118811338061285
HUAMBO,-15.732005555555556,-72.10692499999999,3312,12,26.433246430419544
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,1,193.73703703703703
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,2,142.21099524073168
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,3,119.92223516890138
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,4,58.81094887875396
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,5,19.589589375016086
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,6,8.861996942382188
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,7,6.784627405577058
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,8,13.961500549633586
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,9,36.67323213282226
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,10,58.97547795736708
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,11,67.12407407407407
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,12,136.76396740411462
IMATA,-15.842655555555556,-71.09061666666666,4475,1,137.5753232494484
IMATA,-15.842655555555556,-71.09061666666666,4475,2,127.79285928039185
IMATA,-15.842655555555556,-71.09061666666666,4475,3,98.82036139285083
IMATA,-15.842655555555556,-71.09061666666666,4475,4,31.822868927962045
IMATA,-15.842655555555556,-71.09061666666666,4475,5,4.268873134131441
IMATA,-15.842655555555556,-71.09061666666666,4475,6,2.5674617521401752
IMATA,-15.842655555555556,-71.09061666666666,4475,7,2.8287875552253356
IMATA,-15.842655555555556,-71.09061666666666,4475,8,4.875925925925926
IMATA,-15.842655555555556,-71.09061666666666,4475,9,8.225460647266965
IMATA,-15.842655555555556,-71.09061666666666,4475,10,14.958781754032481
IMATA,-15.842655555555556,-71.09061666666666,4475,11,25.969166438492397
IMATA,-15.842655555555556,-71.09061666666666,4475,12,70.67777777777778
LA YARADA,-18.21065,-70.52593333333333,30,1,0.33431178237729176
LA YARADA,-18.21065,-70.52593333333333,30,2,0.34865729363666004
LA YARADA,-18.21065,-70.52593333333333,30,3,0.24847789677082974
LA YARADA,-18.21065,-70.52593333333333,30,4,0.14160858435303608
LA YARADA,-18.21065,-70.52593333333333,30,5,0.292979182582107
LA YARADA,-18.21065,-70.52593333333333,30,6,0.390359409079993
LA YARADA,-18.21065,-70.52593333333333,30,7,0.819278144235489
LA YARADA,-18.21065,-70.52593333333333,30,8,0.7147704217856244
LA YARADA,-18.21065,-70.52593333333333,30,9,0.6051535951143812
LA YARADA,-18.21065,-70.52593333333333,30,10,0.22639741813126016
LA YARADA,-18.21065,-70.52593333333333,30,11,0.11244248035531285
LA YARADA,-18.21065,-70.52593333333333,30,12,0.20170838814268863
MACUSANI,-14.07,-70.43908333333334,4345,1,133.82922229468144
MACUSANI,-14.07,-70.43908333333334,4345,2,112.98759209643228
MACUSANI,-14.07,-70.43908333333334,4345,3,101.41875197562361
MACUSANI,-14.07,-70.43908333333334,4345,4,42.22202224644502
