estacion,latitud,longitud,altitud,p_01,p_02,p_03,p_04,p_05,p_06,p_07,p_08,p_09,p_10,p_11,p_12,ppt_anual,ppt_djfm,ppt_mjjas,cv_mensual,mes_pico,frac_djfm,frac_mjjas,cluster_ward,cluster_pam,coincide_ward_pam,cluster_label,z_p_01,z_p_02,z_p_03,z_p_04,z_p_05,z_p_06,z_p_07,z_p_08,z_p_09,z_p_10,z_p_11,z_p_12,z_altitud,z_ppt_anual,z_frac_djfm,z_cv_mensual,PC1,PC2
GRANJA SAN ANTONIO,-13.604919444444445,-72.85693055555555,2772,202.39275837424853,199.9145180909279,149.6624306785042,57.510730879975334,14.666881287032771,8.353131963611991,7.600010378027502,14.940340053408795,26.369029145114112,56.92800447352549,80.10467750164361,139.19626412368444,957.6387769497047,691.1659712673651,71.92939282719517,0.9293616254132692,1,0.7217397497925935,0.07511119490827899,1,1,TRUE,Cluster 1 (n = 18),1.2754824908976836,1.4583885273551749,1.1683676332646138,1.1530551905350188,1.2305976445685958,1.0774476814684435,1.0730364050511516,1.5309497046335392,1.1465915542200782,1.2418222358747548,1.2634976981638462,1.2065203710790533,-0.1518873890797609,1.320870752591278,0.08489962810375445,-0.27403947014576213,-4.351588394130545,-0.5268921769824352
HUAMBO,-15.732005555555556,-72.10692499999999,3312,75.66272469911206,78.61893239157244,59.80456111822303,13.504000002238827,1.383885970726509,1.539015907639768,1.2392613201818254,2.47009100864467,2.7814190516189434,5.237069899553303,4.8118811338061285,26.433246430419544,273.48608893373705,240.51946463932708,9.413673258811716,1.3361853133208947,2,0.8794577653915061,0.03442103141521233,2,2,TRUE,Cluster 2 (n = 6),-0.6440742714975181,-0.5336749356347613,-0.5905088006741898,-0.9169750844219946,-1.034824825448591,-0.9348737679959084,-0.9443355928628134,-0.9157512792175375,-1.0753572589657778,-1.0635554751809382,-1.1213179569644536,-0.9881397343070081,0.24598809998572468,-0.8248179453824266,1.0141553559407934,1.4384639364836809,3.0781984720579727,2.076288800283369
HUARAYA MOHO,-15.388277777777777,-69.48427777777778,3890,193.73703703703703,142.21099524073168,119.92223516890138,58.81094887875396,19.589589375016086,8.861996942382188,6.784627405577058,13.961500549633586,36.67323213282226,58.97547795736708,67.12407407407407,136.76396740411462,863.415682166411,592.6342348507847,85.87094640543117,0.8609445125999852,1,0.6863834501636523,0.09945493020229945,1,1,TRUE,Cluster 1 (n = 18),1.1443758546535512,0.5107111746063714,0.5862335444135389,1.2142160758776162,2.0701683325264906,1.227723946687467,0.8144299482898308,1.338898401702692,2.1172457030979337,1.3331380492282767,0.8523515094123364,1.1591815832025019,0.6718622345780407,1.025361529129892,-0.12341547033667168,-0.56203779041836,-4.32906135500496,-0.9944450822789377
IMATA,-15.842655555555556,-71.09061666666666,4475,137.5753232494484,127.79285928039185,98.82036139285083,31.822868927962045,4.268873134131441,2.5674617521401752,2.8287875552253356,4.875925925925926,8.225460647266965,14.958781754032481,25.969166438492397,70.67777777777778,530.3836478356457,434.86632170046886,22.766509014689845,1.153895234993441,1,0.8199089913028851,0.04292460581617458,1,2,FALSE,Cluster 1 (n = 18),0.29370459416117506,0.27391903014857927,0.1731858205105417,-0.05527478260746511,-0.5427886099674782,-0.6311566584690192,-0.4402022451447295,-0.4437191138642061,-0.5625294771583952,-0.6299742678117959,-0.4511844561693508,-0.1270266689074662,1.1028940143989834,-0.01911740758085002,0.663301084807633,0.6711232200763434,0.6003731262049556,1.7409605667756942
LA YARADA,-18.21065,-70.52593333333333,30,0.33431178237729176,0.34865729363666004,0.24847789677082974,0.14160858435303608,0.292979182582107,0.390359409079993,0.819278144235489,0.7147704217856244,0.6051535951143812,0.22639741813126016,0.11244248035531285,0.20170838814268863,4.436144596564674,1.13315536092747,2.8225407527975945,0.6137651162477903,7,0.2554369760185408,0.6362598628961181,3,3,TRUE,Cluster 3 (n = 4),-1.7850600364463456,-1.8191244790932701,-1.7562585762755096,-1.5455279041644658,-1.2208796038857068,-1.2740910767607878,-1.077537247423302,-1.2601505443344845,-1.2803610905998781,-1.2870277871303337,-1.2701674540174273,-1.4986733402885397,-2.172210705778949,-1.6686316654291589,-2.6625006723019076,-1.6025267562375225,5.640608639972832,-3.1443668537153435
MACUSANI,-14.07,-70.43908333333334,4345,133.82922229468144,112.98759209643228,101.41875197562361,42.22202224644502,11.9794431195607,6.632402312332578,5.378267132640448,8.747212078354494,20.792183595818845,44.62180447782076,60.30721442800802,102.80986350217273,651.7259792598909,451.04542986891005,53.529508238707066,0.8649230775103719,1,0.6920783338744967,0.0821349922240263,1,1,TRUE,Cluster 1 (n = 18),0.23696308457733595,0.030768946434308695,0.22404667426294017,0.4338904376627364,0.7722535236534014,0.5692876857248969,0.36838942573510625,0.31583906367619985,0.6212536628245156,0.6929747559110893,0.636435055422123,0.4983468629892998,1.007109174438774,0.36144510965171517,-0.08986189506771891,-0.5452902258958127,-1.788604798233308,-0.40805331098726894
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,160.7750565306435,142.02855196818604,113.23142402146264,47.98152086557471,7.612562329522653,4.703505141482491,3.3753240719754407,7.4555539739178895,17.53719800405952,33.833151061139155,52.34187131597743,105.3047855589306,696.1805048428721,521.3398180792228,40.684143520957996,0.9885938108314999,1,0.7488572495963374,0.05843907325463014,1,1,TRUE,Cluster 1 (n = 18),0.6451067331351206,0.5077148695453834,0.45526771906342567,0.7048111871111624,0.027479500169848847,-3.476299681407957e-4,-0.26686299615028364,0.06241179501622309,0.3146345800145449,0.21180873861786892,0.38414166391045756,0.5469045019743487,0.6865983638026883,0.500866579139473,0.24467270108821146,-0.02470462970781034,-1.2960450967620318,0.57173987704825
PAMPA BLANCA,-17.071608333333334,-71.724525,108,1.0139873071738326,0.7043951825836056,0.24001414225343823,0.08718809718828772,0.2391511898946229,0.2557521339233373,0.4455499883065804,0.7880108356353333,0.6875560127492547,0.21192748555860155,0.18553670933422936,0.5366416793715254,5.395710763972649,2.4950383113824017,2.4160201605091287,0.652044030737812,1,0.4624114265060056,0.4477668033358979,3,3,TRUE,Cluster 3 (n = 4),-1.7747651149346688,-1.8132821193166426,-1.7564242456646921,-1.5480877865679534,-1.2300599989130578,-1.3138428369049788,-1.1960686829109266,-1.2457805512428886,-1.2725987970338188,-1.2876731354938025,-1.2678522755411645,-1.4921546717812364,-2.114739801802823,-1.6656222052363823,-1.4430319077410234,-1.4413936329344272,5.569263057300121,-2.298900734368087
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,142.66774830296652,152.24236881226352,129.80207508045646,49.04621254913154,12.609627323280536,11.283227186573265,11.99487447498338,15.753793458449579,24.008092841624396,39.90226229320154,49.72739180961196,97.37283159213882,736.4105057246816,522.0850237878253,75.64961528491116,0.8843151059094145,2,0.708959228214779,0.1027275068685589,1,1,TRUE,Cluster 1 (n = 18),0.37083862991413247,0.6754585779041457,0.7796213653863545,0.7548931626294254,0.8797318010570103,1.9427533818270695,2.4669093095167596,1.6905517494111415,0.9241917605676875,0.4824866413416384,0.3013309309110935,0.3925281533736995,0.1914644218545285,0.6270387914593579,0.009598320032954183,-0.4636604789515887,-3.3194351544140557,-0.9811865163149989
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,166.24922565045816,141.81249415814503,95.50109613272102,31.40153963722895,4.778077818146759,4.9714303999305,3.9485658368995415,7.277764575213011,11.696537485467935,21.85572583742845,36.926066864678425,104.39206451974565,630.8105889160635,507.9548804610698,32.67237611565775,1.1134894031005842,1,0.8052415247719613,0.05179427341541532,1,1,TRUE,Cluster 1 (n = 18),0.7280229768044916,0.5041665057133878,0.10821457789591982,-0.07509366872210964,-0.4559434590405497,0.07877514105594077,-0.08505392396777933,0.027528971492168455,-0.23555463610637714,-0.3223756280250696,-0.10413681112780862,0.5291405888313486,0.701334493027336,0.29584876330890664,0.5768821222372407,0.5010369472732574,-0.4377098861272405,1.255717205022128
