estacion,ANANEA,ANDAHUAYLAS,ANTA ANCACHURO,AYMARAES,CANDARAVE,CARAVELI,CAYLLOMA,CORA CORA,COTAHUASI,CURPAHUASI,GRANJA KAYRA,GRANJA SAN ANTONIO,HUAMBO,HUARAYA MOHO,IMATA,LA YARADA,MACUSANI,MAÑAZO,PAMPA BLANCA,PAUCARAY,PIZACOMA,PUCARA,PUNTA ATICO,PUNTA COLES,SANTO TOMAS,SICUANI,TAMBOBAMBA,UBINAS
GRANJA KAYRA,3.4668339868059412,4.45793685670927,1.362194054333415,1.9952206749885661,5.9604887913403495,6.821730499801035,2.0650848067099825,3.972730309296025,4.8815574631756045,2.619288260440136,0,3.7468559032489983,4.986463346530265,3.983594999701295,2.9599581302851927,7.529566598958661,1.7381074423083767,1.2598365943743115,7.150790564446777,4.302537982266551,2.1930305459246453,1.4021689970883677,7.0105686031790615,7.62547272569355,1.882323343559123,1.1739130049562576,3.8754389136367573,4.561183521764266
GRANJA SAN ANTONIO,3.3254089879093245,3.2654517332879296,2.6530324840699877,2.848141366130459,8.88735287296793,9.881655208702322,3.4763960222914707,6.644530636703428,7.79409029371488,1.9836492949947946,3.7468559032489983,0,7.973930608221642,2.02562151570595,5.7281641554315055,10.404523809818206,3.287355667269615,3.605032456845877,10.144024061357012,2.7270041925351736,4.538006061130906,2.9798064893541985,10.050010954353757,10.506181668379654,2.2166854238625064,2.9880649332000626,1.0927395325667373,7.438647350174763
HUAMBO,6.72921554376415,7.518549823696138,6.104478049694089,5.23098568406371,1.2149185645552993,2.5112426557364875,4.956243515080365,1.6423792337388068,0.5768463754906706,6.507310076518901,4.986463346530265,7.973930608221642,0,8.127381389200371,2.7213294235096552,5.890179684120279,5.545731936119738,4.770101117463429,5.099364156944903,7.388965667588999,3.7778432052391917,5.866034472470729,4.661715649272709,5.923806512205135,6.263038609868738,5.628971301116224,8.376291272953903,0.6538518011978334
HUARAYA MOHO,2.677058955126256,2.8953009194634935,3.170777681658151,3.288452707578704,9.00734904936124,9.937346871594004,3.877808281861636,6.944143874413996,8.032971958450327,3.0826889661562413,3.983594999701295,2.02562151570595,8.127381389200371,0,5.949925389284258,10.363013888890022,2.973761782869672,3.847816507417765,10.12522490646806,3.018577941726271,4.902664387973174,2.962216840830233,10.062902377259098,10.46653454163507,2.8983896894761125,3.1444198763033175,2.1699699225532987,7.624156174892857
IMATA,4.788718060313849,5.849834444648113,3.9210835918750124,3.1395730161262936,3.7191708075211936,5.112956875013474,2.421267018033966,1.6631319301230547,2.7425188816787935,4.112463561126403,2.9599581302851927,5.7281641554315055,2.7213294235096552,5.949925389284258,0,7.0546743983993725,3.4105463143652517,2.361750510769129,6.493897045229781,5.485773945404452,1.4681243338207681,3.629323372304569,6.2399590135130705,7.127230656196011,3.9421594108023728,3.4367859688112143,6.037426066186291,2.2357391443696066
LA YARADA,8.768884866947133,9.155364552657684,8.536676864119793,8.06975705215119,6.276357781888733,5.215001475306345,8.423293602105469,6.534599255135707,5.86141243362313,9.532381928856704,7.529566598958661,10.404523809818206,5.890179684120279,10.363013888890022,7.0546743983993725,0,8.026253091866938,7.899005903856333,1.2379643834111431,9.5893454961855,7.545798686835453,8.424895145431078,1.843678810757169,0.5791800319626538,8.9721967918044,8.073820567850994,10.832345731643306,6.012136009960147
MACUSANI,1.8591140901208785,3.200351695062524,1.691512625645369,1.697140503160011,6.480328423531361,7.428197641064145,1.9780877437014024,4.515145541902145,5.510254631522913,2.5615140639536302,1.7381074423083767,3.287355667269615,5.545731936119738,2.973761782869672,3.4105463143652517,8.026253091866938,0,1.6626778753386418,7.7023870045730565,3.1699802627246974,2.5936715112230653,1.434270879544646,7.613338042799166,8.143409066073476,2.0498381563939567,1.1419184465426606,3.4911703710574327,5.058373040097831
MAÑAZO,3.2907505116019475,4.363895958714474,1.8510707061412894,1.5259342403212508,5.7862644419401175,6.875425551282079,1.0069798766737044,3.559835256586647,4.6846676918542425,2.163048516957997,1.2598365943743115,3.605032456845877,4.770101117463429,3.847816507417765,2.361750510769129,7.899005903856333,1.6626778753386418,0,7.492832128965134,3.977679738335912,1.505198984275603,1.4544715153754688,7.338520301429626,7.991454326258128,1.7210031936934054,1.3093372971045059,3.8103271630178366,4.281448598243429
PAMPA BLANCA,8.527990187016403,8.939124336482005,8.226078736323666,7.690227326483291,5.457790634222447,4.295163946189687,8.017425436477245,5.867123011037398,5.073253503686355,9.196127151044095,7.150790564446777,10.144024061357012,5.099364156944903,10.12522490646806,6.493897045229781,1.2379643834111431,7.7023870045730565,7.492832128965134,0,9.3404217542854,7.053600377443509,8.09386273295478,0.6731940021243165,1.601714323337163,8.642227172762956,7.745656275707503,10.585701823429165,5.26977857442928
PAUCARAY,2.113359920805398,1.5363639347301667,3.5105187841132532,2.7988367797463067,8.218938087769445,9.151180801854103,3.6884204098903672,6.191065423880419,7.250220762707342,3.2112994627429776,4.302537982266551,2.7270041925351736,7.388965667588999,3.018577941726271,5.485773945404452,9.5893454961855,3.1699802627246974,3.977679738335912,9.3404217542854,0,4.43070870390278,3.8272266132329524,9.267980738941388,9.723340881538741,3.469319232970789,3.5062738390454546,3.3747442459560757,6.8096475958898814
PIZACOMA,3.9479200034255015,4.900658248745119,2.90527932316771,2.0815962986324092,4.726111327119986,5.999623633944077,1.5390234910404046,2.5872702523647515,3.712241134832692,2.975590624413392,2.1930305459246453,4.538006061130906,3.7778432052391917,4.902664387973174,1.4681243338207681,7.545798686835453,2.5936715112230653,1.505198984275603,7.053600377443509,4.43070870390278,0,2.794121376986344,6.836348826893717,7.630332925403619,2.9355871858982265,2.5988698665499945,4.869509558704788,3.2252539450099773
PUCARA,2.9521889238290218,4.007948080079865,1.3599667045876134,1.904470435832733,6.850867261643593,7.788610230461348,2.037728930938771,4.759689390136952,5.794315027383879,2.1064019204572877,1.4021689970883677,2.9798064893541985,5.866034472470729,2.962216840830233,3.629323372304569,8.424895145431078,1.434270879544646,1.4544715153754688,8.09386273295478,3.8272266132329524,2.794121376986344,0,7.988298613007218,8.52232860114883,1.2070306250980019,0.9881571328229419,3.0637427981377225,5.427252879937429
PUNTA ATICO,8.491164605687965,8.901114761933774,8.115339659589011,7.54251706059864,4.962288094287841,3.706476970557517,7.853965794900701,5.511681898249211,4.622815150150601,9.06077620233067,7.0105686031790615,10.050010954353757,4.661715649272709,10.062902377259098,6.2399590135130705,1.843678810757169,7.613338042799166,7.338520301429626,0.6731940021243165,9.267980738941388,6.836348826893717,7.988298613007218,0,2.105036101796068,8.519419055525457,7.6409305580664,10.499861015170918,4.870084653519632
PUNTA COLES,8.908095537616488,9.30354737234513,8.637314148206274,8.177693660166993,6.270240936240459,5.203885594486067,8.512097192300487,6.5793970365070855,5.892220771838326,9.622079697244175,7.62547272569355,10.506181668379654,5.923806512205135,10.46653454163507,7.127230656196011,0.5791800319626538,8.143409066073476,7.991454326258128,1.601714323337163,9.723340881538741,7.630332925403619,8.52232860114883,2.105036101796068,0,9.066840366790188,8.1814921777439409,10.926885485165212,6.05976952757209
SANTO TOMAS,3.2423853176236226,3.9626287528134725,1.24997180512605,1.7154181214138327,7.259916645502652,8.261139865101752,1.9048512089286087,4.967264814446825,6.110519647097887,1.126449002694797,1.882323343559123,2.2166854238625064,6.263038609868738,2.8983896894761125,3.9421594108023728,8.9721967918044,2.0498381563939567,1.7210031936934054,8.642227172762956,3.469319232970789,2.9355871858982265,1.2070306250980019,8.519419055525457,9.066840366790188,0,1.339437665798575,2.3307226806636887,5.785983774442521
SICUANI,2.6558143742929436,3.7007914358074965,1.0674884993541516,1.631173958319017,6.620403886219966,7.512358579440736,1.8375212736908106,4.51891197828834,5.521497379151984,2.1499182945259308,1.1739130049562576,2.9880649332000626,5.628971301116224,3.1444198763033175,3.4367859688112143,8.073820567850994,1.1419184465426606,1.3093372971045059,7.745656275707503,3.5062738390454546,2.5988698665499945,0.9881571328229419,7.6409305580664,8.1814921777439409,1.339437665798575,0,3.1196238561577254,5.159115788232881
TAMBOBAMBA,3.68269063845497,3.938759455557976,2.697478722691502,3.4010980734856635,9.30559677643608,10.318489214396253,3.728485031272573,7.057696230110776,8.215242971945889,2.1949121619654117,3.8754389136367573,1.0927395325667373,8.376291272953903,2.1699699225532987,6.037426066186291,10.832345731643306,3.4911703710574327,3.8103271630178366,10.585701823429165,3.3747442459560757,4.869509558704788,3.0637427981377225,10.499861015170918,10.926885485165212,2.3307226806636887,3.1196238561577254,0,7.861881282723853
UBINAS,6.202086200805319,6.982488280694001,5.628505943752566,4.689410881792142,1.6508268503689063,3.0047038135090682,4.42173972790387,1.2327415327016171,0.7700498508654974,5.986375054194272,4.561183521764266,7.438647350174763,0.6538518011978334,7.624156174892857,2.2357391443696066,6.012136009960147,5.058373040097831,4.281448598243429,5.26977857442928,6.8096475958898814,3.2252539450099773,5.427252879937429,4.870084653519632,6.05976952757209,5.785983774442521,5.159115788232881,7.861881282723853,0
