"cluster","u","v","duracion_sim_continua","duracion_sim_meses","severidad_sim"
1,0.843649554042853,0.63585587631713,10.5446063770136,11,6.52422763351172
1,0.988490291941382,0.967169913176669,22.104633404435,22,20.2774313854262
1,0.563317389194517,0.535725435219628,6.37992039615455,6,5.40123607219844
1,0.368532623290289,0.219301570555743,4.74846468511736,5,2.94223647500879
1,0.737315720774123,0.651977963834836,8.45610984770062,8,6.7362094182839
1,0.291139333169384,0.442228636355338,4.17511776123129,4,4.55890965312824
1,0.191984805252997,0.324380750085984,3.44012849096207,3,3.66183870293332
1,0.352976164017322,0.220543762151707,4.63165908729085,5,2.95056944116948
1,0.183568585499706,0.086093926706408,3.37552516674505,3,2.00673204477099
1,0.0161542621079157,0.00728200872814919,1.56450659995007,2,1.10558423817752
1,0.780130758220829,0.828297593269841,9.17108082118362,9,10.2231696749818
1,0.5556503894825,0.255579681645598,6.30666700214497,6,3.18640998854061
1,0.585229234996729,0.713965960294959,6.59528876066326,7,7.66794168356279
1,0.104971388233851,0.170656845890233,2.72327501292405,3,2.61474268236583
1,0.673133048584633,0.841248272070364,7.57330398868734,8,10.6353493757209
1,0.496516541820351,0.57558114994418,5.77275186405654,6,5.8139623769535
1,0.780093235599418,0.788291147831356,9.17039495726805,9,9.14898753021564
1,0.546673028493061,0.674328386060328,6.22218223334604,6,7.0489069012261
1,0.348902326041979,0.357786421023,4.60124117042459,5,3.9029044147512
1,0.132761769322865,0.204402397485355,2.9675057958302,3,2.84228913580823
1,0.866892456855206,0.79063221952844,11.1981579532949,11,9.20507489127912
1,0.28907693358562,0.199349905508641,4.1600086983018,4,2.80836793337296
1,0.425294076975217,0.224334466931601,5.18614379094567,5,2.9760042203161
1,0.747017557365526,0.579613179667675,8.60744564797956,9,5.85797039035291
1,0.473504004196506,0.38338041617391,5.57752399339178,6,4.09383725722414
1,0.123059931035433,0.319748087861632,2.884530670373,3,3.62903562369783
1,0.501264842083428,0.106051975429956,5.81381927694449,6,2.15959592292499
1,0.842033536048759,0.955828863342958,10.502993576647,11,18.2459861650777
1,0.591961650355657,0.740503545350291,6.66337993922008,7,8.13977313724661
1,0.523165803504888,0.4122793483974,6.00706253260598,6,4.31720906830481
1,0.194230233660274,0.300716289196396,3.45726322710609,3,3.49565193571546
1,0.114411094377766,0.136985303293768,2.80860758800839,3,2.38264483928972
1,0.535472645139036,0.526078656435697,6.11862521301714,6,5.30687934376996
1,0.136368470575585,0.326666003159426,2.99782907666511,3,3.67807196863159
1,0.335959381574417,0.31220151360496,4.50500917103788,5,3.57589124392274
1,0.808274964887241,0.623252574505512,9.72169526818323,10,6.3656084787291
1,0.404438397617484,0.755199593907586,5.02289623332654,5,8.42557064086458
1,0.838861662034332,0.871330057655289,10.4225843010201,10,11.7679077192585
1,0.390719621667553,0.23822774852375,4.917146407269,5,3.06934640237538
1,0.233797704043983,0.132477534711908,3.75395522307046,4,2.35088861497978
1,0.32074343674661,0.492028578145814,4.392547542901,4,4.98867633878484
1,0.754402239729773,0.622255846206509,8.72651596220584,9,6.35331671842233
1,0.642647480300795,0.455724987759852,7.20994345038201,7,4.67168552355883
1,0.71122855444413,0.899870148657381,8.07472719117514,8,13.1766428154298
1,0.444907194738433,0.51785324080852,5.34278951570316,5,5.22795047688822
1,0.354983015157447,0.619048955186102,4.64666782247946,5,6.31399744882203
1,0.181643033241168,0.0546812964469701,3.36065403292911,3,1.73937974410289
1,0.95316256768512,0.952181289960826,15.5942663801525,16,17.720909083822
1,0.459844551458,0.218256342451611,5.46439310805917,5,2.93522491461976
1,0.273617428321626,0.272599939035823,4.04678324720128,4,3.30205589287281
1,0.714098071211805,0.425888176194592,8.11500958434281,8,4.42565277878575
1,0.547080172604155,0.675566307511841,6.225984764188,6,7.06692453039387
1,0.995925624801473,0.995090263453865,27.4734850446345,27,36.1060400702637
1,0.00306531145094892,0.000412650138698962,1.05789992822545,1,0.764110366661728
1,0.188276613627705,0.298510375954643,3.41173982897213,3,3.4803269306813
1,0.51152295289869,0.575831814313727,5.90352616277569,6,5.81668292892616
1,0.903814251591158,0.879775158813901,12.5334368733021,13,12.1430037193863
1,0.31600897863397,0.128371439078087,4.35767492845667,4,2.3217787076868
